part,task,state_set,condition,strategy,beta,episode,init_state,success,rollout_steps,noise_fingerprints,hook_applications,mean_delta_norm,mean_relative_delta,mean_norm_ratio,mean_cosine_delta_hidden,mean_hidden_norm
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,5,0,1,246,50,500,34.467080,0.199094,0.800911,-0.999980,173.119341
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,6,1,0,520,104,1040,34.413387,0.199087,0.800918,-0.999980,172.854779
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,7,2,1,201,41,410,34.593097,0.199084,0.800921,-0.999980,173.758725
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,8,3,1,237,48,480,34.463253,0.199079,0.800926,-0.999980,173.110920
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,9,4,1,163,33,330,34.387502,0.199084,0.800921,-0.999980,172.727547
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,10,5,1,228,46,460,34.545691,0.199086,0.800919,-0.999980,173.519946
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,11,6,0,520,104,1040,34.501685,0.199084,0.800921,-0.999980,173.300561
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,12,7,1,229,46,460,34.498281,0.199082,0.800923,-0.999980,173.285878
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,13,8,0,520,104,1040,34.440658,0.199086,0.800919,-0.999980,172.993012
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,14,9,1,212,43,430,34.522222,0.199086,0.800919,-0.999980,173.402887
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,15,10,0,520,104,1040,34.406715,0.199086,0.800919,-0.999980,172.822815
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,16,11,0,520,104,1040,34.467518,0.199082,0.800923,-0.999980,173.130071
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,17,12,0,520,104,1040,34.441014,0.199084,0.800921,-0.999980,172.996690
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,18,13,1,229,46,460,34.483519,0.199092,0.800913,-0.999980,173.203090
1,libero_10_task02,P,shrink_b02,shrinkage,0.2,19,14,1,208,42,420,34.661649,0.199085,0.800920,-0.999980,174.104230
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,0,45,1,199,40,400,52.772485,0.300689,0.699314,-0.999993,175.505656
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,1,46,1,232,47,470,53.158237,0.300686,0.699317,-0.999993,176.789861
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,2,47,0,520,104,1040,53.016506,0.300683,0.699320,-0.999993,176.320162
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,3,48,1,243,49,490,53.034098,0.300685,0.699318,-0.999993,176.377455
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,4,49,1,219,44,440,52.800324,0.300684,0.699319,-0.999993,175.600368
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,5,0,0,520,104,1040,52.825311,0.300679,0.699324,-0.999993,175.686175
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,6,1,0,520,104,1040,52.908977,0.300685,0.699318,-0.999993,175.961590
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,7,2,1,203,41,410,53.280392,0.300684,0.699319,-0.999993,177.196716
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,8,3,1,228,46,460,53.061674,0.300685,0.699318,-0.999993,176.468905
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,9,4,1,161,33,330,52.912265,0.300687,0.699316,-0.999993,175.970388
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,10,5,1,227,46,460,53.213656,0.300685,0.699318,-0.999993,176.974283
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,11,6,0,520,104,1040,53.106580,0.300681,0.699322,-0.999993,176.620724
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,12,7,1,227,46,460,53.092941,0.300682,0.699321,-0.999993,176.574759
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,13,8,0,520,104,1040,52.969677,0.300684,0.699319,-0.999993,176.164043
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,14,9,0,520,104,1040,52.965045,0.300683,0.699320,-0.999993,176.149069
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,15,10,1,352,71,710,52.940524,0.300685,0.699318,-0.999993,176.066300
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,16,11,1,176,36,360,53.306826,0.300685,0.699318,-0.999993,177.283738
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,17,12,1,314,63,630,53.001821,0.300681,0.699322,-0.999993,176.272560
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,18,13,1,376,76,760,52.987657,0.300683,0.699320,-0.999993,176.224212
1,libero_10_task02,P,shrink_b03,shrinkage,0.3,19,14,1,213,43,430,53.318370,0.300685,0.699318,-0.999993,177.322523
1,libero_10_task02,S,baseline,none,,0,15,1,216,44,,,,,,
1,libero_10_task02,S,baseline,none,,1,16,1,215,43,,,,,,
1,libero_10_task02,S,baseline,none,,2,17,1,262,53,,,,,,
1,libero_10_task02,S,baseline,none,,3,18,1,252,51,,,,,,
1,libero_10_task02,S,baseline,none,,4,19,1,211,43,,,,,,
1,libero_10_task02,S,baseline,none,,5,20,1,352,71,,,,,,
1,libero_10_task02,S,baseline,none,,6,21,0,520,104,,,,,,
1,libero_10_task02,S,baseline,none,,7,22,1,228,46,,,,,,
1,libero_10_task02,S,baseline,none,,8,23,1,259,52,,,,,,
1,libero_10_task02,S,baseline,none,,9,24,1,235,47,,,,,,
1,libero_10_task02,S,baseline,none,,10,25,1,217,44,,,,,,
1,libero_10_task02,S,baseline,none,,11,26,1,240,48,,,,,,
1,libero_10_task02,S,baseline,none,,12,27,1,249,50,,,,,,
1,libero_10_task02,S,baseline,none,,13,28,0,520,104,,,,,,
1,libero_10_task02,S,baseline,none,,14,29,1,222,45,,,,,,
1,libero_10_task02,S,baseline,none,,15,30,0,520,104,,,,,,
1,libero_10_task02,S,baseline,none,,16,31,1,256,52,,,,,,
1,libero_10_task02,S,baseline,none,,17,32,0,520,104,,,,,,
1,libero_10_task02,S,baseline,none,,18,33,0,520,104,,,,,,
1,libero_10_task02,S,baseline,none,,19,34,1,216,44,,,,,,
1,libero_10_task02,S,baseline,none,,20,35,1,250,50,,,,,,
1,libero_10_task02,S,baseline,none,,21,36,1,231,47,,,,,,
1,libero_10_task02,S,baseline,none,,22,37,0,520,104,,,,,,
1,libero_10_task02,S,baseline,none,,23,38,0,520,104,,,,,,
1,libero_10_task02,S,baseline,none,,24,39,0,520,104,,,,,,
1,libero_10_task02,S,baseline,none,,25,40,1,264,53,,,,,,
1,libero_10_task02,S,baseline,none,,26,41,1,279,56,,,,,,
1,libero_10_task02,S,baseline,none,,27,42,0,520,104,,,,,,
1,libero_10_task02,S,baseline,none,,28,43,1,264,53,,,,,,
1,libero_10_task02,S,baseline,none,,29,44,1,225,45,,,,,,
1,libero_10_task02,S,coast_b01,global,0.1,0,15,0,520,104,1040,16.914658,0.099425,0.900617,-0.999625,170.071552
1,libero_10_task02,S,coast_b01,global,0.1,1,16,1,212,43,430,16.944347,0.099387,0.900657,-0.999598,170.432669
1,libero_10_task02,S,coast_b01,global,0.1,2,17,1,238,48,480,16.967545,0.099404,0.900640,-0.999606,170.637534
1,libero_10_task02,S,coast_b01,global,0.1,3,18,0,520,104,1040,16.979567,0.099426,0.900616,-0.999616,170.721465
1,libero_10_task02,S,coast_b01,global,0.1,4,19,1,201,41,410,16.917509,0.099409,0.900634,-0.999610,170.131557
1,libero_10_task02,S,coast_b01,global,0.1,5,20,1,232,47,470,16.951968,0.099417,0.900626,-0.999615,170.458668
1,libero_10_task02,S,coast_b01,global,0.1,6,21,1,203,41,410,17.011381,0.099411,0.900633,-0.999596,171.063695
1,libero_10_task02,S,coast_b01,global,0.1,7,22,0,520,104,1040,16.955400,0.099436,0.900606,-0.999625,170.463131
1,libero_10_task02,S,coast_b01,global,0.1,8,23,1,253,51,510,16.873218,0.099403,0.900639,-0.999613,169.691542
1,libero_10_task02,S,coast_b01,global,0.1,9,24,0,520,104,1040,16.958481,0.099421,0.900621,-0.999617,170.517875
1,libero_10_task02,S,coast_b01,global,0.1,10,25,1,222,45,450,16.998406,0.099421,0.900622,-0.999614,170.919212
1,libero_10_task02,S,coast_b01,global,0.1,11,26,1,258,52,520,17.001337,0.099407,0.900636,-0.999611,170.972994
1,libero_10_task02,S,coast_b01,global,0.1,12,27,1,224,45,450,17.034410,0.099422,0.900622,-0.999609,171.278004
1,libero_10_task02,S,coast_b01,global,0.1,13,28,0,520,104,1040,16.940868,0.099440,0.900602,-0.999627,170.310725
1,libero_10_task02,S,coast_b01,global,0.1,14,29,1,224,45,450,17.030200,0.099418,0.900624,-0.999621,171.243407
1,libero_10_task02,S,coast_b01,global,0.1,15,30,0,520,104,1040,16.976134,0.099429,0.900613,-0.999620,170.684577
1,libero_10_task02,S,coast_b01,global,0.1,16,31,1,237,48,480,17.011048,0.099411,0.900633,-0.999604,171.059068
1,libero_10_task02,S,coast_b01,global,0.1,17,32,1,188,38,380,16.995426,0.099411,0.900633,-0.999595,170.902858
1,libero_10_task02,S,coast_b01,global,0.1,18,33,0,520,104,1040,16.976930,0.099429,0.900613,-0.999619,170.688896
1,libero_10_task02,S,coast_b01,global,0.1,19,34,0,520,104,1040,16.927043,0.099425,0.900617,-0.999617,170.195213
1,libero_10_task02,S,coast_b01,global,0.1,20,35,1,213,43,430,17.065327,0.099427,0.900616,-0.999615,171.584146
1,libero_10_task02,S,coast_b01,global,0.1,21,36,1,230,46,460,16.949693,0.099421,0.900623,-0.999599,170.429967
1,libero_10_task02,S,coast_b01,global,0.1,22,37,1,205,41,410,16.957106,0.099412,0.900632,-0.999604,170.519809
1,libero_10_task02,S,coast_b01,global,0.1,23,38,0,520,104,1040,16.912528,0.099433,0.900610,-0.999619,170.039325
1,libero_10_task02,S,coast_b01,global,0.1,24,39,1,185,37,370,17.063585,0.099388,0.900657,-0.999591,171.626880
1,libero_10_task02,S,coast_b01,global,0.1,25,40,1,235,47,470,17.019526,0.099419,0.900625,-0.999601,171.134527
1,libero_10_task02,S,coast_b01,global,0.1,26,41,1,261,53,530,16.965827,0.099429,0.900614,-0.999612,170.579160
1,libero_10_task02,S,coast_b01,global,0.1,27,42,0,520,104,1040,17.012154,0.099429,0.900614,-0.999614,171.044662
1,libero_10_task02,S,coast_b01,global,0.1,28,43,1,222,45,450,16.935148,0.099420,0.900623,-0.999612,170.284802
1,libero_10_task02,S,coast_b01,global,0.1,29,44,1,247,50,500,16.935958,0.099416,0.900626,-0.999617,170.301255
1,libero_10_task02,S,coast_b02,global,0.2,0,15,0,520,104,1040,34.325237,0.199066,0.801003,-0.999723,172.447905
1,libero_10_task02,S,coast_b02,global,0.2,1,16,1,202,41,410,34.415897,0.199035,0.801038,-0.999703,172.925641
1,libero_10_task02,S,coast_b02,global,0.2,2,17,0,520,104,1040,34.361920,0.199064,0.801004,-0.999725,172.633890
1,libero_10_task02,S,coast_b02,global,0.2,3,18,1,234,47,470,34.468136,0.199027,0.801045,-0.999711,173.195435
1,libero_10_task02,S,coast_b02,global,0.2,4,19,1,212,43,430,34.322494,0.199061,0.801009,-0.999717,172.435171
1,libero_10_task02,S,coast_b02,global,0.2,5,20,1,274,55,550,34.373593,0.199054,0.801017,-0.999716,172.700717
1,libero_10_task02,S,coast_b02,global,0.2,6,21,1,202,41,410,34.534557,0.199028,0.801047,-0.999700,173.530118
1,libero_10_task02,S,coast_b02,global,0.2,7,22,0,520,104,1040,34.385307,0.199051,0.801017,-0.999726,172.762664
1,libero_10_task02,S,coast_b02,global,0.2,8,23,0,520,104,1040,34.313143,0.199087,0.800980,-0.999729,172.369857
1,libero_10_task02,S,coast_b02,global,0.2,9,24,0,520,104,1040,34.402127,0.199056,0.801013,-0.999723,172.843083
1,libero_10_task02,S,coast_b02,global,0.2,10,25,1,222,45,450,34.523549,0.199036,0.801035,-0.999717,173.469728
1,libero_10_task02,S,coast_b02,global,0.2,11,26,1,227,46,460,34.530844,0.199027,0.801044,-0.999712,173.511167
1,libero_10_task02,S,coast_b02,global,0.2,12,27,1,220,44,440,34.549478,0.199046,0.801025,-0.999716,173.588791
1,libero_10_task02,S,coast_b02,global,0.2,13,28,0,520,104,1040,34.372485,0.199085,0.800982,-0.999733,172.669331
1,libero_10_task02,S,coast_b02,global,0.2,14,29,1,218,44,440,34.572331,0.199040,0.801029,-0.999721,173.710953
1,libero_10_task02,S,coast_b02,global,0.2,15,30,1,195,39,390,34.563204,0.199020,0.801053,-0.999705,173.680545
1,libero_10_task02,S,coast_b02,global,0.2,16,31,1,235,47,470,34.508003,0.199018,0.801054,-0.999711,173.402899
1,libero_10_task02,S,coast_b02,global,0.2,17,32,1,192,39,390,34.488626,0.199015,0.801059,-0.999705,173.308839
1,libero_10_task02,S,coast_b02,global,0.2,18,33,0,520,104,1040,34.426289,0.199052,0.801016,-0.999727,172.967778
1,libero_10_task02,S,coast_b02,global,0.2,19,34,1,210,42,420,34.398412,0.199020,0.801054,-0.999702,172.850140
1,libero_10_task02,S,coast_b02,global,0.2,20,35,1,219,44,440,34.643147,0.199014,0.801056,-0.999719,174.087577
1,libero_10_task02,S,coast_b02,global,0.2,21,36,1,229,46,460,34.374319,0.199054,0.801019,-0.999706,172.701297
1,libero_10_task02,S,coast_b02,global,0.2,22,37,1,186,38,380,34.414184,0.199028,0.801046,-0.999701,172.922307
1,libero_10_task02,S,coast_b02,global,0.2,23,38,1,197,40,400,34.348215,0.199047,0.801025,-0.999711,172.578289
1,libero_10_task02,S,coast_b02,global,0.2,24,39,0,520,104,1040,34.495596,0.199038,0.801033,-0.999714,173.325965
1,libero_10_task02,S,coast_b02,global,0.2,25,40,1,227,46,460,34.586958,0.199020,0.801053,-0.999706,173.796589
1,libero_10_task02,S,coast_b02,global,0.2,26,41,1,265,53,530,34.418651,0.199041,0.801029,-0.999721,172.937587
1,libero_10_task02,S,coast_b02,global,0.2,27,42,0,520,104,1040,34.518599,0.199031,0.801040,-0.999712,173.447068
1,libero_10_task02,S,coast_b02,global,0.2,28,43,1,241,49,490,34.375005,0.199044,0.801027,-0.999716,172.714674
1,libero_10_task02,S,coast_b02,global,0.2,29,44,1,239,48,480,34.366573,0.199057,0.801012,-0.999721,172.661322
1,libero_10_task02,S,coast_b03,global,0.3,0,15,0,520,104,1040,52.325303,0.297856,0.702254,-0.999738,175.664640
1,libero_10_task02,S,coast_b03,global,0.3,1,16,1,212,43,430,52.401015,0.297793,0.702327,-0.999716,175.953904
1,libero_10_task02,S,coast_b03,global,0.3,2,17,1,270,54,540,52.459465,0.297808,0.702309,-0.999725,176.142509
1,libero_10_task02,S,coast_b03,global,0.3,3,18,1,237,48,480,52.524635,0.297795,0.702322,-0.999723,176.367633
1,libero_10_task02,S,coast_b03,global,0.3,4,19,1,206,42,420,52.275395,0.297830,0.702285,-0.999728,175.511447
1,libero_10_task02,S,coast_b03,global,0.3,5,20,0,520,104,1040,52.353988,0.297829,0.702283,-0.999735,175.776640
1,libero_10_task02,S,coast_b03,global,0.3,6,21,0,520,104,1040,52.473209,0.297824,0.702292,-0.999725,176.179082
1,libero_10_task02,S,coast_b03,global,0.3,7,22,0,520,104,1040,52.441591,0.297817,0.702296,-0.999733,176.076646
