layer,matrix,record,strategy,variant,eig_imag_max,eig_max,eig_min,erank,fro,n_sv_gt_0.01,n_sv_gt_0.5,quota,quota_a,quota_b,rel_fro,sym_err,top10_align,top32_align,trace
5,C_contrastive,V1_vs_V0,global_a0.5,V1|V0,,,,,,,,,0.0103813,0.0184951,0.6558,,0.4395,0.694698,
5,C_success,V2_vs_V1,global_a0.5,V2|V1,,,,,,,,,0.0417358,0.0424179,0.119688,,0.900093,0.968667,
5,C_failure,V2_vs_V1,global_a0.5,V2|V1,,,,,,,,,0.0426961,0.0433804,0.119362,,0.899872,0.968732,
5,C_contrastive,V2_vs_V1,global_a0.5,V2|V1,,,,,,,,,0.0103514,0.0103813,0.217881,,0.896627,0.973979,
5,C_success,V3_vs_V2,global_a0.5,V3|V2,,,,,,,,,0.0417358,0.0417358,3.11373e-11,,1,1,
5,C_failure,V3_vs_V2,global_a0.5,V3|V2,,,,,,,,,0.0426961,0.0426961,2.8776e-11,,1,1,
5,C_contrastive,V3_vs_V2,global_a0.5,V3|V2,,,,,,,,,0.0103233,0.0103514,0.101012,,0.997727,0.993368,
5,C_success,V0_vs_V3,global_a0.5,V0|V3,,,,,,,,,0.0579459,0.0417358,0.343024,,0.562976,0.93607,
5,C_failure,V0_vs_V3,global_a0.5,V0|V3,,,,,,,,,0.0591261,0.0426961,0.346051,,0.546047,0.934772,
5,C_contrastive,V0_vs_V3,global_a0.5,V0|V3,,,,,,,,,0.0184951,0.0103233,0.952309,,0.413163,0.686466,
5,C_success,diagnostic,global_a1.0,V0,0,0.999839,0.000330922,202.177,7.7588,400,71,0.0895375,,,,1.77939e-11,,,91.6864
5,C_failure,diagnostic,global_a1.0,V0,0,0.999839,0.000385401,211.557,7.83454,421,72,0.0922407,,,,6.13412e-11,,,94.4544
5,C_contrastive,diagnostic,global_a1.0,V0,0.000128538,0.395647,0.000159379,281.441,2.71459,365,0,0.0364038,,,,0.112529,,,37.2775
5,C_success,diagnostic,global_a1.0,V1,0,0.999834,9.68043e-06,111.705,6.66944,219,50,0.0589412,,,,6.17135e-12,,,60.3558
5,C_failure,diagnostic,global_a1.0,V1,0,0.999834,2.73097e-05,121.885,6.72828,241,51,0.0613769,,,,8.6512e-12,,,62.8499
5,C_contrastive,diagnostic,global_a1.0,V1,7.35419e-06,0.398237,9.68007e-06,156.164,1.92445,213,0,0.0183964,,,,0.154004,,,18.8379
5,C_success,diagnostic,global_a1.0,V2,0,0.998073,9.67791e-06,111.106,6.61613,219,49,0.0582108,,,,1.2539e-11,,,59.6079
5,C_failure,diagnostic,global_a1.0,V2,0,0.998176,2.7288e-05,121.341,6.67548,240,51,0.060652,,,,9.63391e-14,,,62.1076
5,C_contrastive,diagnostic,global_a1.0,V2,8.91654e-06,0.397915,9.67753e-06,156.278,1.91872,213,0,0.0183432,,,,0.153793,,,18.7834
5,C_success,diagnostic,global_a1.0,V3,0,0.998073,9.67791e-06,111.106,6.61613,219,49,0.0582108,,,,0,,,59.6079
5,C_failure,diagnostic,global_a1.0,V3,0,0.998176,2.7288e-05,121.341,6.67548,240,51,0.060652,,,,0,,,62.1076
5,C_contrastive,diagnostic,global_a1.0,V3,0,0.389175,9.67791e-06,156.079,1.89173,212,0,0.01825,,,,2.80528e-10,,,18.688
